Table with row headers in column B and NAICS codes in column A with column headers in row 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Annual U.S. Retail Trade Sales - Total and E-commerce1:  1998-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Estimates are shown in millions of dollars and are based on data from the Annual Retail Trade Survey.  Estimates have been adjusted using final results of the 2012 Economic Census.],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,,2014r,,2013r,,2012r,,2011r,,2010r,,2009r,,2008r,,2007,,2006,,2005,,2004,,2003,,2002,,2001,,2000,,1999,,1998,,,
NAICS Code,Kind of Business,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total ,E-commerce,Total ,E-commerce,Total ,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total ,E-commerce,,
,Total Retail Trade …………………………………………………,"4,727,427","340,415","4,639,440","298,682","4,458,450","260,950","4,302,229","230,474","4,102,952","199,673","3,818,048","169,921","3,612,471","145,507","3,935,315","141,592","3,995,182","136,470","3,871,573","113,334","3,689,283","91,387","3,473,048","72,597","3,262,731","57,155","3,128,552","44,623","3,062,268","34,260","2,983,276","27,608","2,803,090","14,490","2,581,762","4,984",,
441,   Motor vehicles and parts dealers…………………………………..,"1,095,412","29,716","1,020,851","27,362","959,294","26,014","886,494","23,518","812,938","20,653","742,913","18,053","671,772","15,137","785,865","17,407","910,139","21,558","899,997","18,838","888,307","16,093","866,372","13,113","841,588","10,265","818,811","7,059","815,579","5,271","796,210","4,090","764,204","1,704","688,415",382,,
442,   Furniture and home furnishings stores …………………………….,"106,779",691,"99,718",599,"95,349",551,"91,542",436,"87,586",373,"85,205",328,"84,749",S,"98,720",S,"111,144",S,"112,795",367,"109,120",349,"103,757",330,"96,736",S,"94,438",S,"91,484",S,"91,170",S,"84,294",S,"77,412",S,,
443,   Electronics and appliance stores …………………………………..,"102,108","1,331","103,518","1,304","102,998","1,246","102,060",S,"99,928","1,281","97,396","1,151","95,364",972,"105,317","1,048","106,599","1,032","105,477",879,"100,461",999,"93,896",981,"86,442",666,"83,740",497,"80,240",452,"82,206",407,"78,977",188,"74,527",126,,
444,   Building materials and garden equipment and supplies stores ….,"331,644","1,708","318,352",S,"301,797","1,234","281,533",D,"269,480",D,"260,566",S,"261,637",563,"301,833",673,"320,854",641,"334,130",512,"320,802",514,"295,274",446,"263,463",375,"248,539",284,"239,379",234,"228,994",152,"218,290",132,"202,423",25,,
445,   Food and beverage stores ………………………………………….,"685,568","1,166","669,165","1,099","640,847",958,"628,205",969,"609,137",752,"580,530",677,"568,418",642,"569,276",658,"547,837",822,"525,232",692,"508,484",473,"490,380",391,"474,385",283,"464,856",185,"462,429",96,"444,764",70,"433,699",72,"416,525",10,,
446,   Health and personal care stores …………………………………….,"315,257",D,"299,263",D,"281,840",D,"274,000",434,"271,612",S,"260,435",S,"252,794",238,"246,573",202,"237,164",242,"223,336",256,"210,085",S,"199,290",S,"192,426",S,"179,983",S,"166,533",S,"155,234",S,"142,699",S,"129,583",S,,
447,   Gasoline Stations …………………………………………………….,"443,817",D,"538,790",D,"549,613",D,"555,419",D,"533,457",D,"448,349",S,"391,234",Z,"503,639",Z,"451,822",Z,"421,976",S,"378,923",S,"324,006",S,"275,187",S,"250,619",S,"251,383",S,"249,816",S,"212,524",S,"191,727",S,,
448,   Clothing and clothing accessories stores …………………………,"255,831","4,107","250,409","3,801","244,722","3,250","239,493","2,945","228,606","2,363","213,286","1,919","204,475","1,807","215,583","1,657","221,205","1,427","213,189","1,177","200,969","1,241","190,253","1,119","178,694",S,"172,304",S,"167,287",S,"167,674",S,"159,751",S,"149,151",Z,,
451,"   Sporting goods, hobby, book and music stores ………………….","87,355","2,265","85,466","2,329","84,578","2,081","82,981","1,781","80,697","1,748","80,420","1,602","80,213","1,451","83,628","1,381","84,651","1,227","83,148","1,110","80,889",887,"79,284",765,"76,767",506,"76,680",412,"76,836",395,"75,808",356,"72,458",254,"68,645",52,,
452,   General merchandise stores …………………………………………,"674,928",107,"667,163",102,"651,874",88,"642,313",84,"624,766",S,"603,757",S,"588,918",S,"595,041",S,"578,582",S,"554,256",S,"528,385",S,"497,382",S,"468,771",S,"446,520",S,"427,468",S,"404,228",S,"380,179",S,"351,081",S,,
453,   Miscellaneous store retailers ……………………………………….,"119,461","2,938","115,878","2,708","112,412","2,402","110,018",S,"108,401",S,"104,234",S,"101,745","1,444","110,688","1,548","116,418","1,466","113,694","1,245","107,279","1,063","104,177",875,"101,913",669,"102,783",533,"103,087",426,"106,719",343,"104,218",232,"98,369",116,,
454,   Nonstore retailers …………………………………………………….,"509,267","295,746","470,867","257,147","433,126","222,453","408,171","196,071","376,344","169,462","340,957","143,481","311,152","122,800","319,152","116,498","308,767","107,573","284,343","88,179","255,579","69,413","228,977","54,262","206,359","43,042","189,279","34,664","180,563","26,653","180,453","21,663","151,797","11,707","133,904","4,029",,
4541,      Electronic shopping and mail order houses ……………………….,"433,692","294,809","386,065","256,269","350,487","221,587","328,655","195,477","294,697","168,919","263,488","143,000","235,625","121,173","229,242","114,642","223,681","105,467","202,251","85,945","175,900","68,114","154,157","52,996","134,304","41,962","122,214","33,764","114,749","25,892","113,790","21,221","94,282","11,615","80,297","4,008",,
"S -  Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%), poor response quality (total quantity response rate is less than 50%), or other concerns about the estimate's quality. Unpublished estimates derived from this table by subtraction are subject to these same limitations and should not be attributed to the U.S. Census Bureau. For a description of publication standards and the total quantity response rate, see  http://www.census.gov/about/policies/quality/standards/standardf1.html.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z - Estimate is less than five hundred thousand dollars or 0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D - Denotes an estimate withheld to avoid disclosing data of individual companies; data are included in higher-level totals. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1E-commerce sales are sales of goods and services where the buyer places an order, or the price and terms of the sale are negotiated, over an Internet, mobile device (M-commerce), extranet, Electronic Data Interchange (EDI) network, electronic mail, or other comparable online system.  Payment may or may not be made online.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r Revised Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Sales estimates are shown in millions of dollars, consequently industry group estimates may not be additive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Estimates are not adjusted for price changes. Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at <http://www.census.gov/retail/arts/how_surveys_are_collected.html>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
